Recall_Heard	Behavior_Score	Type_Flour_1	Type_Flour_2	Type_Flour_3	Type_Flour_4	Risk_Behavior	Risk_Perception_Consumption	Risk_Perception_Microbiological_1	Risk_Perception_Microbiological_2	Risk_Perception_Microbiological_3	Risk_Perception_Microbiological_4	Risk_Perception_Microbiological_5	Risk_Perception_Microbiological_6	Risk_Perception_Microbiological_7	Risk_Perception_Microbiological_8	Risk_Perception_Microbiological_9	Risk_Perception_Microbiological_10	Risk_Perception_Microbiological_11	Type_Cleaning_Counter1	Type_Cleaning_Counter2	Type_Cleaning_Counter5	Contamination_Knowledge	Consumer_Focus_Pack_1	Consumer_Focus_Pack_2	Consumer_Focus_Pack_3	Consumer_Focus_Pack_4	Consumer_Focus_Pack_5	Consumer_Focus_Pack_6	Consumer_Focus_Pack_7	Consumer_Focus_Pack_8	Consumer_Focus_Pack_9	Consumer_Focus_Pack_10	Risk_Perception_Recall_1	Risk_Perception_Recall_2	Recall_Hear_Action_3	Recall_Hear_Action_4	Recall_Hear_Action_5	Recall_Bought_Action_2	Recall_Bought_Action_5	Recall_Bacteria_Action_1	Recall_Bacteria_Action_2	Recall_Bacteria_Action_3	Recall_Bacteria_Action_4	Recall_Bacteria_Action_5	NORecall_Bacteria_Action_1	NORecall_Bacteria_Action_2	NORecall_Bacteria_Action_3	NORecall_Bacteria_Action_4	Recipe_Media_1	Recipe_Media_2	Recipe_Media_3	Recipe_Media_4	Recipe_Media_5	Recipe_Media_6	Recipe_Media_7	Recipe_Media_8	Responsible_Recall_Risk_1	Responsible_Recall_Risk_2	Responsible_Recall_Risk_3	Responsible_Recall_Risk_4	Responsible_Recall_Risk_5	Responsible_Recall_Risk_6	Responsible_Recall_Risk_7	Responsible_Recall_Risk_8	Responsible_Recall_Risk_9	Responsible_Recall_Risk_10	Gender_1	Ethnicity_1	Ethnicity_2	Ethnicity_3	Ethnicity_4	State_1	State_2	State_3	State_4	State_5	State_6	State_7	State_8	State_9	State_10	State_11	State_12	State_13	State_14	State_15	State_16	State_17	State_18	State_19	State_20	State_21	State_22	State_23	State_24	State_25	State_26	State_27	State_28	State_29	State_30	State_31	State_32	State_33	State_34	State_35	State_36	State_37	State_38	State_39	State_41	State_42	State_43	State_44	State_45	State_46	State_47	State_48	State_49	State_50	State_51	State_52	Self_Risk_Perception_1	Self_Risk_Perception_2	Self_Risk_Perception_3	Children	Handwashing_Score	Counter_Cleaning_Score	Hear_Recall_Score	Recall_Action	Risk_Perception_Microbes	Recall_In_State	Age	Income	Education	Risk_BehaviorRecode																				
0	2	1	1	0	1	3	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	5	6	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	6	6	0	0	0	-1	-1	2	102	3	3	3	1																				
1	3	1	1	1	1	3	7	0	1	1	1	1	1	1	0	0	0	0	1	0	0	2	0	0	1	0	1	0	1	0	0	0	6	7	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	7	0	1	0	-1	-1	6	31	3	4	4	1																				
0	3	1	0	0	1	4	5	1	1	1	1	1	1	1	1	1	1	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	6	5	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	3	1	0	0	0	-1	11	31	2	4	3	1																				
1	3	1	0	0	1	3	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	4	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	1	0	0	-1	0	2	102	2	4	3	1																				
0	3	1	1	1	1	3	3	1	0	0	0	0	0	1	0	0	0	1	1	1	0	2	0	1	1	0	1	1	0	0	0	0	6	6	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	1	0	0	0	-1	3	103	2	4	3	1																				
1	3	0	0	0	1	4	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	2	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	1	1	0	-1	-1	2	109	2	3	2	1																				
0	2	1	0	0	0	2	4	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	1	0	-1	-1	4	180	3	2	2	0																				
1	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	3	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	1	72	3	2	2	-1																				
0	3	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	109	3	1	3	0																				
0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	111	1	2	2	0																				
0	2	1	1	1	1	1	7	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	7	7	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	1	0	0	0	0	3	121	5	5	4	-1																				
0	4	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	7	1	1	0	0	-1	0	121	2	1	2	1																				
